,CohortMonth,CohortIndex,bp_id
318,2019-05-01,49,17
319,2019-05-01,50,11
320,2019-05-01,51,19
321,2019-05-01,52,12
322,2019-05-01,53,6
323,2019-05-01,54,9
324,2019-05-01,55,5
325,2019-05-01,56,6
326,2019-05-01,57,6
327,2019-05-01,58,5
328,2019-05-01,59,5
329,2019-05-01,60,8
330,2019-05-01,61,10
331,2019-05-01,62,14
332,2019-05-01,63,14
333,2019-05-01,64,11
334,2019-05-01,65,6
335,2019-06-01,1,21
336,2019-06-01,2,16
337,2019-06-01,3,10
338,2019-06-01,4,5
339,2019-06-01,5,4
340,2019-06-01,6,3
341,2019-06-01,7,5
342,2019-06-01,8,2
343,2019-06-01,9,5
344,2019-06-01,10,6
345,2019-06-01,11,4
346,2019-06-01,12,5
347,2019-06-01,13,5
348,2019-06-01,14,6
349,2019-06-01,15,4
350,2019-06-01,16,6
351,2019-06-01,17,4
352,2019-06-01,18,3
353,2019-06-01,19,3
354,2019-06-01,20,4
355,2019-06-01,21,2
356,2019-06-01,22,3
357,2019-06-01,23,2
358,2019-06-01,24,5
359,2019-06-01,25,7
360,2019-06-01,26,4
361,2019-06-01,27,3
362,2019-06-01,28,5
363,2019-06-01,29,4
364,2019-06-01,30,7
365,2019-06-01,31,2
366,2019-06-01,32,2
367,2019-06-01,33,5
368,2019-06-01,34,6
369,2019-06-01,35,4
370,2019-06-01,36,5
371,2019-06-01,37,4
372,2019-06-01,38,7
373,2019-06-01,39,4
374,2019-06-01,40,4
375,2019-06-01,41,3
376,2019-06-01,42,5
377,2019-06-01,43,3
378,2019-06-01,44,5
379,2019-06-01,45,4
380,2019-06-01,46,2
381,2019-06-01,47,4
382,2019-06-01,48,5
383,2019-06-01,49,2
384,2019-06-01,50,5
385,2019-06-01,51,1
386,2019-06-01,52,3
387,2019-06-01,53,2
388,2019-06-01,54,3
389,2019-06-01,55,1
390,2019-06-01,56,1
391,2019-06-01,57,2
392,2019-06-01,58,2
393,2019-06-01,59,3
394,2019-06-01,60,4
395,2019-06-01,61,5
396,2019-06-01,62,4
397,2019-06-01,63,6
398,2019-06-01,64,5
399,2019-07-01,1,5
400,2019-07-01,2,1
401,2019-07-01,10,1
402,2019-07-01,12,3
403,2019-07-01,13,1
404,2019-07-01,20,1
405,2019-08-01,1,3
406,2019-08-01,19,1
407,2019-08-01,21,1
408,2019-08-01,22,1
409,2019-08-01,27,1
410,2019-08-01,28,1
411,2019-08-01,32,1
412,2019-08-01,34,1
413,2019-08-01,43,2
414,2019-08-01,62,1
415,2019-09-01,1,7
416,2019-09-01,2,5
417,2019-09-01,3,4
418,2019-09-01,4,4
419,2019-09-01,5,2
420,2019-09-01,6,2
421,2019-09-01,7,3
422,2019-09-01,8,3
423,2019-09-01,9,3
424,2019-09-01,10,2
425,2019-09-01,11,2
426,2019-09-01,12,3
427,2019-09-01,13,2
428,2019-09-01,14,4
429,2019-09-01,15,2
430,2019-09-01,16,1
431,2019-09-01,17,2
432,2019-09-01,18,2
433,2019-09-01,19,2
434,2019-09-01,20,2
435,2019-09-01,21,1
436,2019-09-01,22,2
437,2019-09-01,23,3
438,2019-09-01,24,3
439,2019-09-01,25,2
440,2019-09-01,26,3
441,2019-09-01,27,2
442,2019-09-01,28,2
443,2019-09-01,29,3
444,2019-09-01,30,2
445,2019-09-01,31,3
446,2019-09-01,32,3
447,2019-09-01,33,3
448,2019-09-01,34,3
449,2019-09-01,35,3
450,2019-09-01,36,3
451,2019-09-01,37,3
452,2019-09-01,38,2
453,2019-09-01,39,2
454,2019-09-01,40,1
455,2019-09-01,41,2
456,2019-09-01,42,2
457,2019-09-01,43,1
458,2019-09-01,44,1
459,2019-09-01,45,2
460,2019-09-01,46,1
461,2019-09-01,47,2
462,2019-09-01,49,2
463,2019-09-01,50,2
464,2019-09-01,51,2
465,2019-09-01,52,1
466,2019-09-01,53,2
467,2019-09-01,54,2
468,2019-09-01,55,2
469,2019-09-01,56,1
470,2019-09-01,57,1
471,2019-09-01,58,2
472,2019-09-01,59,2
473,2019-09-01,60,1
474,2019-09-01,61,2
475,2019-10-01,1,6
476,2019-10-01,2,3
477,2019-10-01,3,2
478,2019-10-01,4,3
479,2019-10-01,5,3
480,2019-10-01,6,2
481,2019-10-01,7,2
482,2019-10-01,8,1
483,2019-10-01,9,2
484,2019-10-01,10,3
485,2019-10-01,11,4
486,2019-10-01,12,3
487,2019-10-01,13,3
488,2019-10-01,14,2
489,2019-10-01,15,1
490,2019-10-01,16,3
491,2019-10-01,17,3
492,2019-10-01,18,3
493,2019-10-01,19,2
494,2019-10-01,20,3
495,2019-10-01,21,2
496,2019-10-01,22,1
497,2019-10-01,23,2
498,2019-10-01,24,1
499,2019-10-01,25,1
500,2019-10-01,26,2
501,2019-10-01,27,1
502,2019-10-01,28,3
503,2019-10-01,29,1
504,2019-10-01,30,2
505,2019-10-01,31,1
506,2019-10-01,32,2
507,2019-10-01,33,1
508,2019-10-01,34,2
509,2019-10-01,35,1
510,2019-10-01,36,1
511,2019-10-01,37,1
512,2019-10-01,38,3
513,2019-10-01,39,2
514,2019-10-01,40,1
515,2019-10-01,41,3
516,2019-10-01,42,2
517,2019-10-01,43,1
518,2019-10-01,44,2
519,2019-10-01,45,1
520,2019-10-01,46,1
521,2019-10-01,47,1
522,2019-10-01,48,2
523,2019-10-01,49,2
524,2019-10-01,50,2
525,2019-10-01,51,1
526,2019-10-01,52,1
527,2019-10-01,53,2
528,2019-10-01,54,2
529,2019-10-01,55,3
530,2019-10-01,56,1
531,2019-10-01,58,1
532,2019-10-01,59,1
533,2019-10-01,60,2
534,2019-11-01,1,6
535,2019-11-01,2,4
536,2019-11-01,3,3
537,2019-11-01,4,3
538,2019-11-01,5,4
539,2019-11-01,6,1
540,2019-11-01,7,2
541,2019-11-01,8,3
542,2019-11-01,9,3
543,2019-11-01,10,3
544,2019-11-01,11,3
545,2019-11-01,12,3
546,2019-11-01,13,4
547,2019-11-01,14,4
548,2019-11-01,15,3
549,2019-11-01,16,4
550,2019-11-01,17,3
551,2019-11-01,18,1
552,2019-11-01,19,1
553,2019-11-01,20,2
554,2019-11-01,21,3
555,2019-11-01,22,3
556,2019-11-01,23,3
557,2019-11-01,24,1
558,2019-11-01,25,4
559,2019-11-01,26,2
560,2019-11-01,27,5
561,2019-11-01,28,3
562,2019-11-01,29,2
563,2019-11-01,30,3
564,2019-11-01,31,2
565,2019-11-01,32,1
566,2019-11-01,33,2
567,2019-11-01,34,2
568,2019-11-01,35,3
569,2019-11-01,36,2
570,2019-11-01,37,5
571,2019-11-01,38,4
572,2019-11-01,39,3
573,2019-11-01,40,1
574,2019-11-01,42,2
575,2019-11-01,43,3
576,2019-11-01,44,3
577,2019-11-01,45,3
578,2019-11-01,46,2
579,2019-11-01,47,2
580,2019-11-01,48,1
581,2019-11-01,49,3
582,2019-11-01,50,3
583,2019-11-01,51,1
584,2019-11-01,52,1
585,2019-11-01,53,2
586,2019-11-01,54,3
587,2019-11-01,55,1
588,2019-11-01,56,2
589,2019-11-01,57,2
590,2019-11-01,58,1
591,2019-11-01,59,2
592,2019-12-01,1,12
593,2019-12-01,2,4
594,2019-12-01,3,4
595,2019-12-01,4,1
596,2019-12-01,5,1
597,2019-12-01,6,3
598,2019-12-01,7,2
599,2019-12-01,8,3
600,2019-12-01,9,3
601,2019-12-01,10,1
602,2019-12-01,11,4
603,2019-12-01,12,3
604,2019-12-01,13,5
605,2019-12-01,14,3
606,2019-12-01,15,2
607,2019-12-01,16,2
608,2019-12-01,17,2
609,2019-12-01,18,2
610,2019-12-01,19,2
611,2019-12-01,20,3
612,2019-12-01,21,1
613,2019-12-01,22,2
614,2019-12-01,23,2
615,2019-12-01,24,4
616,2019-12-01,25,6
617,2019-12-01,26,6
618,2019-12-01,27,3
619,2019-12-01,28,3
620,2019-12-01,29,1
621,2019-12-01,30,1
622,2019-12-01,31,2
623,2019-12-01,32,3
624,2019-12-01,33,2
625,2019-12-01,34,1
626,2019-12-01,35,2
627,2019-12-01,36,4
628,2019-12-01,37,4
629,2019-12-01,38,1
630,2019-12-01,39,1
631,2019-12-01,41,1
632,2019-12-01,42,2
633,2019-12-01,43,3
634,2019-12-01,44,2
635,2019-12-01,45,4
636,2019-12-01,46,1
637,2019-12-01,47,4
638,2019-12-01,48,2
639,2019-12-01,49,5
640,2019-12-01,50,3
641,2019-12-01,53,2
642,2019-12-01,54,1
643,2019-12-01,55,4
644,2019-12-01,56,2
645,2019-12-01,57,3
646,2019-12-01,58,1
647,2020-01-01,1,2
648,2020-01-01,7,1
649,2020-01-01,19,1
650,2020-02-01,1,2
651,2020-02-01,2,1
652,2020-02-01,3,1
653,2020-02-01,4,1
654,2020-02-01,5,2
655,2020-02-01,6,2
656,2020-02-01,7,2
657,2020-02-01,8,2
658,2020-02-01,9,2
659,2020-02-01,10,2
660,2020-02-01,11,1
661,2020-02-01,12,2
